Name,Position,Birthday
John Brown,County Executive
Mathew Benol,"Council Member, At-Large"
John Cusick,"Council President, 3"
Matthew Dietz,"Council Member, 4"
Margaret Ferraro,"Council Member, At-Large"
Glenn Geissinger,"Council Member, At-Large"
Kenneth Kraft,"Council Member, 1"
Hayden Phillips,"Council Member, At-Large"
Seth Vaughn,"Council Member, At-Large"
Robert Werner,"Council Member, 2"
Zachary Lysek,Coroner
David Dalrymple,Sheriff
Stephen Barron,Controller
Andrea Suter,Recorder of Deeds
